time,open,high,low,close,tick_volume,spread,real_volume
2024-02-16,51478.84,52600.31,51390.61,51993.04,134909,0,0
2024-02-17,51939.62,52252.66,50641.75,51830.94,91375,0,0
2024-02-18,51690.94,52094.07,51174.76,51878.76,98726,0,0
2024-02-19,51884.74,52497.69,51666.35,51883.46,138422,339,0
2024-02-20,51898.42,53020.96,50744.7,52066.01,146685,0,0
2024-02-21,51994.6,52545.43,50583.64,51374.5,151425,0,0
2024-02-22,51272.47,52057.66,50910.31,51607.53,134241,146,0
2024-02-23,51594.57,51684.91,50618.41,51012.74,133690,0,0
2024-02-24,50729.01,51688.37,50476.67,51572.21,71378,397,0
2024-02-25,51616.01,51966.88,51261.58,51773.72,86066,794,0
2024-02-26,51726.56,54962.88,50898.16,54637.58,133236,0,0
2024-02-27,54614.9,57622.08,54482.63,56669.24,179345,0,0
2024-02-28,56721.81,64212.35,56662.28,60524.45,193558,0,0
2024-02-29,60702.01,63672.81,60354.69,61449.51,204163,0,0
2024-03-01,61229.01,63232.09,60728.12,62641.56,144161,0,0
2024-03-02,62385.46,62508.56,61636.83,61979.74,109316,0,0
2024-03-03,61908.81,63040.87,61373.1,62852.63,116275,0,0
2024-03-04,62795.98,67911.97,62269.5,67486.15,194231,0,0
2024-03-05,67664.21,69318.9,59155.12,63289.43,218248,0,0
2024-03-06,63317.35,67656.24,62486.25,66563.23,215100,0,0
2024-03-07,66335.12,68073.8,65565.76,67361.3,215258,0,0
2024-03-08,67352.82,70198.1,66101.99,68308.8,186919,0,0
2024-03-09,68516.27,68700.75,68033.13,68570.91,87480,0,0
2024-03-10,68574.73,70025.6,68408.94,69445.06,115825,0,0
2024-03-11,69422.8,72860.16,67061.79,72085.76,243731,387,0
2024-03-12,72026.45,73079.18,68570.57,71033.73,206409,0,0
2024-03-13,70942.13,73705.14,70510.28,73176.19,210932,0,0
2024-03-14,73240.64,73843.75,68499.47,70654.57,257948,0,0
2024-03-15,70495.77,72414.25,65528.31,67881.25,311815,0,0
2024-03-16,68491.27,70049.14,66630.66,67187.76,211513,0,0
2024-03-17,66942.26,68628.32,64487.23,68208.65,289050,0,0
2024-03-18,68255.27,68919.57,66534.18,67356.91,254618,0,0
2024-03-19,67477.36,68111.01,62292.18,63814.01,316378,0,0
2024-03-20,63693.01,67786.42,60728.94,67069.69,314510,0,0
2024-03-21,66984.15,68219.51,64490.8,65405.4,311342,0,0
2024-03-22,65292.39,66631.26,62573.31,63497.89,321397,0,0
2024-03-23,62690.1,66027.5,62411.2,65044.1,65915,0,0
2024-03-24,64915.2,66495.4,63813.0,66148.3,67285,0,0
2024-03-25,66320.7,71155.4,66187.5,70939.8,90708,0,0
2024-03-26,70824.2,71624.3,69372.4,69828.25,157869,0,0
2024-03-27,69943.4,71810.7,68412.7,68863.1,236408,0,0
2024-03-28,68986.75,71622.3,68911.85,70778.9,90474,0,0
2024-03-29,70822.8,71117.05,69079.9,69657.25,39094,0,0
2024-03-30,69521.5,70399.9,69435.7,69910.0,19639,0,0
2024-03-31,69925.05,71341.0,69601.1,70919.3,67818,0,0
2024-04-01,70873.3,71455.85,68053.34,69760.62,248828,0,0
2024-04-02,69558.15,69942.52,64549.56,65727.83,453348,0,0
2024-04-03,65665.34,66931.45,64452.34,65715.27,380001,0,0
2024-04-04,65522.5,69334.92,65060.32,67935.06,453899,55,0
2024-04-05,68027.35,68771.09,65934.23,67684.99,410143,0,0
2024-04-06,67693.04,68505.18,67476.63,68386.62,250967,0,0
2024-04-07,68401.76,70311.87,68300.04,69329.63,271186,0,0
2024-04-08,69278.02,72751.01,68894.83,71658.42,323649,0,0
2024-04-09,71637.78,72005.77,68177.46,69054.77,357874,0,0
2024-04-10,68884.42,70124.44,67415.1,69769.23,378063,0,0
2024-04-11,69631.68,71299.24,69524.84,70493.09,361353,0,0
2024-04-12,70324.98,71247.09,64966.2,66972.21,343648,0,0
2024-04-13,66881.89,67967.74,60359.95,62086.59,344233,0,0
2024-04-14,62589.05,65679.29,61730.09,63883.87,368123,0,0
2024-04-15,63694.63,66924.77,62293.61,63165.2,362312,0,0
2024-04-16,63102.36,63931.15,61630.14,63030.91,407245,0,0
2024-04-17,63120.81,64510.06,59673.49,60877.61,361652,0,0
2024-04-18,60980.03,64176.89,60801.38,63461.08,388433,0,0
2024-04-19,63492.52,65496.9,59558.49,63868.46,393241,0,0
2024-04-20,64382.67,65452.39,62953.39,64719.06,295917,0,0
2024-04-21,64756.53,65725.9,64225.7,64632.06,260215,0,0
2024-04-22,64762.1,66866.72,64502.45,66498.95,362367,0,0
2024-04-23,66384.87,67274.48,65812.82,66271.14,318401,0,0
2024-04-24,66265.1,67086.15,63531.45,64064.71,336362,0,0
2024-04-25,64000.08,64970.99,62752.75,64833.83,356018,0,0
2024-04-26,64797.96,65270.54,63281.18,63909.85,303918,0,0
2024-04-27,64019.01,64067.62,62369.17,63228.75,228469,0,0
2024-04-28,63262.34,64330.38,63116.89,63653.74,205412,0,0
2024-04-29,63512.4,63697.75,61752.97,62933.11,334032,0,0
2024-04-30,62857.04,64700.47,59063.14,59835.58,358201,0,0
2024-05-01,59968.75,60984.5,56448.28,57347.48,414546,0,0
2024-05-02,57296.63,59585.89,56889.25,58726.26,394988,0,0
2024-05-03,58724.68,63222.59,58693.92,62824.14,345690,0,0
2024-05-04,62582.44,64550.23,62464.76,63909.86,301159,0,0
2024-05-05,63819.26,64667.0,62905.52,63748.46,259762,0,0
2024-05-06,63593.38,65529.76,62685.19,63294.83,348313,0,0
2024-05-07,63292.89,64406.21,62772.66,62954.01,368240,0,0
2024-05-08,62909.67,63153.38,61418.69,61575.29,367004,0,0
2024-05-09,61539.97,62669.28,60593.34,62627.54,362124,0,0
2024-05-10,62610.39,63475.14,60165.41,60561.33,351897,0,0
2024-05-11,60625.95,61492.12,60443.26,60993.82,129505,0,0
2024-05-12,60978.86,61848.45,60580.08,61255.24,199832,119,0
2024-05-13,61088.74,63448.46,60720.44,63083.85,369717,0,0
2024-05-14,62856.21,63105.4,61052.93,61524.73,331079,0,0
2024-05-15,61459.42,66462.16,61298.26,65979.5,359674,0,0
2024-05-16,65839.32,66755.32,64561.71,65262.46,355945,0,0
2024-05-17,65221.64,67494.9,65101.22,66941.31,297633,231,0
2024-05-18,66839.96,67395.79,66606.28,66982.65,182137,141,0
2024-05-19,66943.71,67700.53,65875.99,66181.52,172281,0,0
2024-05-20,66214.02,70458.16,65982.47,69469.92,224859,0,0
2024-05-21,69189.92,71941.71,68924.35,69701.92,290592,0,0
2024-05-22,69587.32,70662.02,69193.14,69390.16,277616,0,0
2024-05-23,69218.6,70056.77,66224.96,67769.48,272287,0,0
2024-05-24,67662.96,69250.26,66567.93,68987.24,274505,0,0
2024-05-25,68802.3,69592.73,68466.69,69099.42,126802,347,0
2024-05-26,69048.21,69514.36,68615.54,68668.72,155744,336,0
2024-05-27,68505.34,70590.79,68026.63,69543.69,145249,1018,0
2024-05-28,69548.63,69769.15,67156.79,68206.71,229932,315,0
2024-05-29,68162.87,68842.62,67058.65,67402.71,203732,0,0
2024-05-30,67348.23,69498.75,67080.48,68438.57,203975,0,0
2024-05-31,68378.04,69019.72,66553.61,67548.06,184696,0,0
2024-06-01,67456.34,67809.54,67148.12,67741.8,102439,230,0
2024-06-02,67675.95,68420.72,67253.1,67776.93,141179,0,0
2024-06-03,67808.93,70285.33,67552.78,69089.07,204757,0,0
2024-06-04,69069.95,71087.47,68533.27,70452.53,217156,0,0
2024-06-05,70296.36,71790.75,70292.87,71235.28,246737,0,0
2024-06-06,71150.05,71659.22,70085.59,70703.39,250314,0,0
2024-06-07,70675.2,71933.66,68161.03,69172.07,219000,0,0
2024-06-08,69269.51,69569.51,69123.72,69364.85,136103,0,0
2024-06-09,69335.94,69867.56,69109.28,69690.72,147527,0,0
2024-06-10,69721.94,70168.65,69144.17,69635.19,186212,0,0
2024-06-11,69583.51,69664.65,65959.77,67215.39,324034,0,0
